Date,PM2.5,NO2,O3,temperature,humidity
21/10/2018,6.101190476,26.47619048,68.13392857,13.9672619,48.04761905
21/10/2018,6.432926829,25.85365854,65.67378049,13.2652439,50.53963415
21/10/2018,6.728658537,34.53963415,51.875,12.8597561,54.2195122
21/10/2018,6.347181009,17.12166172,61.71513353,12.99109792,55.38575668
21/10/2018,6.408536585,17.07621951,55.50609756,12.24390244,56.85365854
22/10/2018,6.423780488,27.14329268,38.6402439,11.19512195,60.75304878
22/10/2018,6.347181009,22.72403561,37.3768546,10.21364985,62.53709199
22/10/2018,6.457317073,30.36890244,32.58231707,10.09146341,61.24085366
22/10/2018,6.527439024,41.84756098,24.89329268,10.10365854,61.03658537
22/10/2018,6.729166667,66.80059524,28.92261905,10.26785714,61.31845238
22/10/2018,6.883435583,67.09202454,29.73312883,10.94785276,60.56134969
22/10/2018,6.749235474,59.79510703,24.48012232,10.67278287,60.14984709
22/10/2018,6.842261905,57.54761905,30.69047619,11.85416667,57.69940476
22/10/2018,7.198170732,57.77134146,36.85060976,13.46646341,54.95731707
22/10/2018,7.55351682,48.24464832,39.47400612,15.17125382,51.66666667
22/10/2018,7.473214286,41.77380952,48.625,17.27678571,46.89583333
22/10/2018,7.441717791,38.45092025,55.22699387,17.70858896,46.28527607
22/10/2018,7.740061162,44.64220183,49.37920489,16.8470948,50.85626911
22/10/2018,7.573134328,45.95820896,47.26567164,17.08059701,50.10447761
22/10/2018,7.531914894,35.01519757,57.98176292,17.49544073,48.40121581
22/10/2018,7.887195122,27.45426829,62.73170732,16.59756098,50.17378049
22/10/2018,7.976190476,22.94642857,66.7172619,15.55952381,52.88095238
22/10/2018,7.341463415,18.99695122,68.3445122,15.07317073,53.7652439
22/10/2018,7.756097561,16.84146341,69.27743902,15.00304878,54.64329268
22/10/2018,7.519287834,14.3264095,69.14836795,15,55.76854599
22/10/2018,7.774390244,15.13719512,67.79573171,15,56.30487805
22/10/2018,7.935185185,11.33950617,68.10493827,15.0462963,56.12654321
22/10/2018,7.598214286,11.88095238,65.79761905,15.01785714,56.45535714
22/10/2018,7.707317073,8.024390244,70.8445122,15.28658537,55.02439024
23/10/2018,7.886850153,7.801223242,73.29357798,15.49235474,54.34862385
23/10/2018,7.850746269,5.973134328,72.05970149,15.34925373,54.63283582
23/10/2018,8.110769231,7.587692308,71.96,15.74461538,54.37846154
23/10/2018,8.018691589,12.55451713,72.09657321,15.96261682,54.1588785
23/10/2018,8.05988024,22.73952096,67.90718563,16,53.79041916
23/10/2018,8.254601227,33.62576687,62.53680982,16,54.43558282
23/10/2018,8.406727829,33.48012232,61.63914373,16,54.67889908
23/10/2018,7.871641791,36.28059701,61.35522388,16,54.7761194
23/10/2018,8.671779141,33.97239264,60.67791411,16.3190184,54.74539877
23/10/2018,8.886503067,32.45398773,60.39570552,17.01533742,55.21472393
23/10/2018,8.734328358,30.60895522,59.68059701,17.07164179,56.34626866
23/10/2018,8.318885449,28.76470588,58.30959752,17.53560372,56.77089783
23/10/2018,7.355828221,30.86503067,54.67791411,18,56.09509202
23/10/2018,7.292537313,27.38208955,56.43283582,18.87761194,53.79104478
23/10/2018,6.631578947,38.11145511,52.77399381,18.04024768,56.69659443
23/10/2018,7.253012048,40.44879518,50.4186747,17.34337349,58.82228916
23/10/2018,7.112121212,50.34545455,44.75151515,17.0030303,60.17878788
23/10/2018,6.614678899,33.88685015,50.51987768,16.87767584,60.62385321
23/10/2018,6.45045045,30.25525526,52.76876877,16.24924925,60.99399399
23/10/2018,6.3556231,28.05167173,53.83282675,16.01823708,60.99392097
23/10/2018,6.515151515,26.47878788,58.72424242,16,57.67575758
23/10/2018,6.978851964,13.29003021,70.13595166,15.48640483,57.09063444
23/10/2018,7.291411043,10.17791411,74.44478528,15.22699387,56.8404908
23/10/2018,7.048780488,10.41463415,77.65243902,15.05792683,56.77439024
24/10/2018,7.178571429,9.357142857,79.0297619,15,57.38095238
24/10/2018,7.917431193,10.45565749,78.16513761,15,57.18348624
24/10/2018,7.266055046,10.05198777,78.22324159,15,56.85932722
24/10/2018,7.383928571,16.81547619,74.97916667,15,56.19940476
24/10/2018,7.273846154,31.11384615,68.37538462,15.04923077,56.36615385
24/10/2018,7.296296296,44.22222222,59.81790123,15.16049383,56.10802469
24/10/2018,7.724550898,44.20958084,59.74850299,15.16167665,55.76047904
24/10/2018,6.704968944,46.26708075,59.30434783,15.7515528,54.98757764
24/10/2018,6.433436533,43.57894737,61.79876161,16.0247678,54.09907121
24/10/2018,7.19939577,41.97583082,60.65558912,16.88821752,50.82477341
24/10/2018,7.324074074,37.33641975,66.32716049,17.10185185,49.36419753
24/10/2018,6.749235474,38.37308869,67.44954128,17.24770642,48.96636086
